Datetime,Water Level (m)
2022-11-04 12:00:00,-0.16853064
2022-11-04 13:00:00,0.5045392
2022-11-04 14:00:00,1.0065036
2022-11-04 15:00:00,1.3424858
2022-11-04 16:00:00,1.2300328
2022-11-04 17:00:00,0.9660619
2022-11-04 18:00:00,0.37454432
2022-11-04 19:00:00,-0.20834763
2022-11-04 20:00:00,-0.6475597
2022-11-04 21:00:00,-0.98255306
2022-11-04 22:00:00,-1.1562175
2022-11-04 23:00:00,-0.9727992
2022-11-05 00:00:00,-0.2692213
2022-11-05 01:00:00,0.45306885
2022-11-05 02:00:00,1.0106454
2022-11-05 03:00:00,1.3548077
2022-11-05 04:00:00,1.3246145
2022-11-05 05:00:00,1.0006697
2022-11-05 06:00:00,0.44916168
2022-11-05 07:00:00,-0.16538215
2022-11-05 08:00:00,-0.6338847
2022-11-05 09:00:00,-1.004758
2022-11-05 10:00:00,-1.2698318
2022-11-05 11:00:00,-1.3038718
2022-11-05 12:00:00,-0.8128154
2022-11-05 13:00:00,0.016391966
2022-11-05 14:00:00,0.729943
2022-11-05 15:00:00,1.2928672
2022-11-05 16:00:00,1.469943
2022-11-05 17:00:00,1.3498175
2022-11-05 18:00:00,0.89938694
2022-11-05 19:00:00,0.27631515
2022-11-05 20:00:00,-0.31540585
2022-11-05 21:00:00,-0.7485049
2022-11-05 22:00:00,-1.0828072
2022-11-05 23:00:00,-1.2422858
2022-11-06 00:00:00,-1.0111897
2022-11-06 01:00:00,-0.2346023
2022-11-06 02:00:00,0.52585286
2022-11-06 03:00:00,1.095102
2022-11-06 04:00:00,1.4036216
2022-11-06 05:00:00,1.3771945
2022-11-06 06:00:00,0.9574425
2022-11-06 07:00:00,0.31027043
2022-11-06 08:00:00,-0.31318426
2022-11-06 09:00:00,-0.7821075
2022-11-06 10:00:00,-1.1631161
2022-11-06 11:00:00,-1.3881934
2022-11-06 12:00:00,-1.2859774
2022-11-06 13:00:00,-0.5507112
2022-11-06 14:00:00,0.29852512
2022-11-06 15:00:00,0.99570197
2022-11-06 16:00:00,1.4519866
2022-11-06 17:00:00,1.5522289
2022-11-06 18:00:00,1.3632102
2022-11-06 19:00:00,0.8185286
2022-11-06 20:00:00,0.14249018
2022-11-06 21:00:00,-0.4313074
2022-11-06 22:00:00,-0.85880464
2022-11-06 23:00:00,-1.188111
2022-11-07 00:00:00,-1.3125211
2022-11-07 01:00:00,-0.9212561
2022-11-07 02:00:00,-0.042209383
2022-11-07 03:00:00,0.72138405
